"DATA_LECTURA","DATA_EXTREM","CODI_ESTACIO","ACRÒNIM","VALOR"
2023-01-10,NA,"X2","TM",11
2023-01-10,"13:48:00","X2","TX",14.8
2023-01-10,"07:02:00","X2","TN",7.5
2023-01-10,NA,"X2","HRM",61
2023-01-10,"22:00:00","X2","HRX",84
2023-01-10,"11:57:00","X2","HRN",40
2023-01-10,NA,"X4","TM",12.2
2023-01-10,"13:37:00","X4","TX",15.7
2023-01-10,"04:25:00","X4","TN",9.4
2023-01-10,NA,"X4","HRM",54
2023-01-10,"23:07:00","X4","HRX",78
2023-01-10,"12:38:00","X4","HRN",37
2023-01-10,NA,"X4","PM",1023
2023-01-10,"10:30:00","X4","PX",1025.2
2023-01-10,"00:01:00","X4","PN",1020
2023-01-10,NA,"X4","PPT",0
2023-01-10,NA,"X4","RS24h",9
2023-01-10,NA,"X4","VVM10",1.6
2023-01-10,NA,"X4","DVM10",283
2023-01-10,"01:16:00","X4","VVX10",8.6
2023-01-10,"01:16:00","X4","DVVX10",298
2023-01-10,NA,"X8","TM",10.9
2023-01-10,"14:33:00","X8","TX",16
2023-01-10,"04:48:00","X8","TN",6.7
2023-01-10,NA,"X8","HRM",60
2023-01-10,"22:24:00","X8","HRX",88
2023-01-10,"15:04:00","X8","HRN",41
2023-01-10,NA,"X8","PM",1017.1
2023-01-10,"10:36:00","X8","PX",1019.4
2023-01-10,"00:02:00","X8","PN",1014.3
2023-01-10,NA,"X8","PPT",0
2023-01-10,NA,"X8","RS24h",8.8
2023-01-10,NA,"X8","VVM10",2.2
2023-01-10,NA,"X8","DVM10",293
2023-01-10,"09:22:00","X8","VVX10",8.2
2023-01-10,"09:22:00","X8","DVVX10",313
2023-01-11,NA,"D5","TM",10.1
2023-01-11,"15:30:00","D5","TX",12.2
2023-01-11,"04:32:00","D5","TN",7.9
2023-01-11,NA,"D5","HRM",67
2023-01-11,"00:30:00","D5","HRX",97
2023-01-11,"19:04:00","D5","HRN",55
2023-01-11,NA,"D5","PM",975.7
2023-01-11,"23:00:00","D5","PX",978.7
2023-01-11,"06:05:00","D5","PN",973.4
2023-01-11,NA,"D5","PPT",0
2023-01-11,NA,"D5","RS24h",5.8
2023-01-11,NA,"D5","VVM10",5.5
2023-01-11,NA,"D5","DVM10",332
